cfbd_week,cfbd_game_id,commence_time,away_team,home_team,book_count,consensus_home_spread,consensus_away_spread,consensus_total,circa_home_spread,circa_away_spread,circa_total
1,401858437,2026-09-06T20:07:00Z,Washington State Cougars,Washington Huskies,4,-13.5,13.5,34.5,,,
1,401856661,2026-09-06T23:45:00Z,Louisville Cardinals,Ole Miss Rebels,7,-6.5,6.5,54.5,,,
1,401858438,2026-09-06T23:48:00Z,Wisconsin Badgers,Notre Dame Fighting Irish,8,-21.0,21.0,46.0,,,
1,401858212,2026-09-07T23:30:00Z,SMU Mustangs,Florida State Seminoles,9,3.0,-3.0,53.5,,,
