pulled_at_utc,cfbd_game_id,cfbd_week,cfbd_season_type,home_team,away_team,matched_cfbd_schedule,circa_home_spread,circa_away_spread,circa_total
2026-09-06T23:55:03.650465+00:00,401858214,2,regular,Rutgers,Boston College,yes,-4,4,56
2026-09-06T23:55:03.650465+00:00,401856678,2,regular,Kansas,Missouri,yes,-6.5,6.5,51
2026-09-06T23:55:03.650465+00:00,401856782,2,regular,Oklahoma State,Oregon,yes,-22,22,58
2026-09-06T23:55:03.650465+00:00,401856679,2,regular,Michigan,Oklahoma,yes,-5.5,5.5,43
2026-09-06T23:55:03.650465+00:00,401864571,2,regular,East Carolina,App State,yes,-8.5,8.5,55
2026-09-06T23:55:03.650465+00:00,401858224,2,regular,Purdue,Wake Forest,yes,-5,5,49.5
2026-09-06T23:55:03.650465+00:00,401858221,2,regular,Virginia Tech,ODU,yes,-18.5,18.5,51.5
2026-09-06T23:55:03.650465+00:00,401858442,2,regular,Temple,Penn State,yes,-24.5,24.5,51
2026-09-06T23:55:03.650465+00:00,401856683,2,regular,Texas A&M,Arizona State,yes,-14,14,51.5
2026-09-06T23:55:03.650465+00:00,401862702,2,regular,Army,South Florida,yes,-3.5,3.5,49.5
2026-09-06T23:55:03.650465+00:00,401856673,2,regular,Georgia,Western Kentucky,yes,-38,38,52.5
2026-09-06T23:55:03.650465+00:00,401856810,2,regular,BYU,Arizona,yes,-8.5,8.5,51.5
2026-09-06T23:55:03.650465+00:00,401856790,2,regular,Pittsburgh,UCF,yes,-8.5,8.5,58
2026-09-06T23:55:03.650465+00:00,401858216,2,regular,Syracuse,California,yes,0,0,54.5
2026-09-06T23:55:03.650465+00:00,401858444,2,regular,UConn,Maryland,yes,-14,14,53.5
2026-09-06T23:55:03.650465+00:00,401860884,2,regular,Texas State,UTSA,yes,-1,1,64.5
2026-09-06T23:55:03.650465+00:00,401858217,2,regular,Illinois,Duke,yes,-6,6,53.5
2026-09-06T23:55:03.650465+00:00,401858440,2,regular,Michigan State,Eastern Michigan,yes,-18,18,51
2026-09-06T23:55:03.650465+00:00,401862708,2,regular,UAB,UL Monroe,yes,-10,10,56
2026-09-06T23:55:03.650465+00:00,401856677,2,regular,Minnesota,Mississippi State,yes,-1.5,1.5,56
2026-09-06T23:55:03.650465+00:00,401856674,2,regular,Kentucky,Alabama,yes,-10,10,48.5
2026-09-06T23:55:03.650465+00:00,401862705,2,regular,North Texas,UNLV,yes,-5,5,58
2026-09-06T23:55:03.650465+00:00,401856684,2,regular,Vanderbilt,Delaware,yes,-20,20,53.5
2026-09-06T23:55:03.650465+00:00,401860881,2,regular,Boise State,Memphis,yes,-8.5,8.5,55
2026-09-06T23:55:03.650465+00:00,401866414,2,regular,FIU,Buffalo,yes,-10,10,51.5
2026-09-06T23:55:03.650465+00:00,401866418,2,regular,Ohio,Jacksonville State,yes,-2,2,51.5
2026-09-06T23:55:03.650465+00:00,401864575,2,regular,Tulane,South Alabama,yes,-11,11,51.5
2026-09-06T23:55:03.650465+00:00,401862707,2,regular,Sam Houston State,Tulsa,yes,-13.5,13.5,52
2026-09-06T23:55:03.650465+00:00,401858441,2,regular,Nebraska,Bowling Green,yes,-28,28,52
2026-09-06T23:55:03.650465+00:00,401856681,2,regular,Georgia Tech,Tennessee,yes,-13.5,13.5,54.5
2026-09-06T23:55:03.650465+00:00,401871045,2,regular,Marshall,Middle Tennessee State,yes,-16.5,16.5,57.5
2026-09-06T23:55:03.650465+00:00,401869955,2,regular,Kennesaw State,Georgia State,yes,-9,9,50
2026-09-06T23:55:03.650465+00:00,401858443,2,regular,UCLA,San Diego State,yes,-10,10,51.5
2026-09-06T23:55:03.650465+00:00,401858219,2,regular,Clemson,Georgia Southern,yes,-23.5,23.5,56.5
2026-09-06T23:55:03.650465+00:00,401862703,2,regular,FAU,Navy,yes,-7,7,57.5
2026-09-06T23:55:03.650465+00:00,401856788,2,regular,Iowa,Iowa State,yes,-14.5,14.5,41
2026-09-06T23:55:03.650465+00:00,401856671,2,regular,Auburn,Southern Miss,yes,-28.5,28.5,52
2026-09-06T23:55:03.650465+00:00,401867796,2,regular,LSU,Louisiana Tech,yes,-32.5,32.5,55
2026-09-06T23:55:03.650465+00:00,401856682,2,regular,Texas,Ohio State,yes,-2,2,48
2026-09-06T23:55:03.650465+00:00,401856783,2,regular,Oregon State,Texas Tech,yes,-27.5,27.5,51.5
2026-09-06T23:55:03.650465+00:00,401864502,2,regular,Air Force,North Dakota State,yes,-5.5,5.5,49
2026-09-06T23:55:03.650465+00:00,401856670,2,regular,Utah,Arkansas,yes,-12,12,56
2026-09-06T23:55:03.650465+00:00,401860883,2,regular,Fresno State,Sacramento State,yes,-19,19,48
2026-09-06T23:55:03.650465+00:00,401858445,2,regular,USC,Louisiana,yes,-30,30,60.5
2026-09-06T23:55:03.650465+00:00,401864578,2,regular,Hawaii,New Mexico State,yes,-10,10,50
