pulled_at_utc,cfbd_game_id,cfbd_week,cfbd_season_type,home_team,away_team,matched_cfbd_schedule,circa_home_spread,circa_away_spread,circa_total
2026-09-14T02:15:02.617974+00:00,401856691,3,regular,South Carolina,Mississippi State,yes,-3,3,59
2026-09-14T02:15:02.617974+00:00,401862710,3,regular,ODU,East Carolina,yes,-1.5,1.5,49
2026-09-14T02:15:02.617974+00:00,401862771,3,regular,FAU,FIU,yes,-7,7,61.5
2026-09-14T02:15:02.617974+00:00,401864574,3,regular,App State,Charlotte,yes,-21,21,54
2026-09-14T02:15:02.617974+00:00,401871047,3,regular,Missouri State,Marshall,yes,4,-4,52.5
2026-09-14T02:15:02.617974+00:00,401856800,3,regular,UCF,Georgia State,yes,-20,20,50
2026-09-14T02:15:02.617974+00:00,401856795,3,regular,Colorado State,BYU,yes,21,-21,52
2026-09-14T02:15:02.617974+00:00,401869948,3,regular,Jacksonville State,Georgia Southern,yes,-4,4,52
2026-09-14T02:15:02.617974+00:00,401864443,3,regular,Middle Tennessee State,Nevada,yes,6,-6,49
2026-09-14T02:15:02.617974+00:00,401866423,3,regular,South Alabama,Ohio,yes,-3,3,53
2026-09-14T02:15:02.617974+00:00,401862773,3,regular,Rice,Western Michigan,yes,11,-11,45.5
2026-09-14T02:15:02.617974+00:00,401856687,3,regular,Auburn,Florida,yes,1.5,-1.5,53.5
2026-09-14T02:15:02.617974+00:00,401861963,3,regular,Southern Miss,UConn,yes,3,-3,54
2026-09-14T02:15:02.617974+00:00,401856802,3,regular,Virginia,West Virginia,yes,-8,8,54.5
2026-09-14T02:15:02.617974+00:00,401858232,3,regular,Maryland,Virginia Tech,yes,3,-3,53
2026-09-14T02:15:02.617974+00:00,401856796,3,regular,Northwestern,Colorado,yes,-3,3,47.5
2026-09-14T02:15:02.617974+00:00,401856690,3,regular,Oklahoma,New Mexico,yes,-23.5,23.5,48
2026-09-14T02:15:02.617974+00:00,401856688,3,regular,Ole Miss,LSU,yes,3,-3,59
2026-09-14T02:15:02.617974+00:00,401858453,3,regular,Notre Dame,Michigan State,yes,-31,31,52
2026-09-14T02:15:02.617974+00:00,401856692,3,regular,Tennessee,Kennesaw State,yes,-35.5,35.5,59
2026-09-14T02:15:02.617974+00:00,401856799,3,regular,TCU,Arkansas State,yes,-20,20,56
2026-09-14T02:15:02.617974+00:00,401856693,3,regular,Texas,UTSA,yes,-30,30,58
2026-09-14T02:15:02.617974+00:00,401862776,3,regular,Louisiana,UAB,yes,-8.5,8.5,57.5
2026-09-14T02:15:02.617974+00:00,401860887,3,regular,San Diego State,James Madison,yes,0,0,47
2026-09-14T02:15:02.617974+00:00,401856793,3,regular,Arizona,Northern Illinois,yes,-35,35,49.5
2026-09-14T02:15:02.617974+00:00,401864507,3,regular,Sacramento State,North Dakota State,yes,28,-28,53
2026-09-14T02:15:02.617974+00:00,401860888,3,regular,San Jose State,Fresno State,yes,8.5,-8.5,51.5
2026-09-14T02:15:02.617974+00:00,401858458,3,regular,UCLA,Purdue,yes,-14,14,52.5
