pulled_at_utc,cfbd_game_id,cfbd_week,cfbd_season_type,commence_time,home_team,away_team,matched_cfbd_schedule,BetMGM_home_spread,BetMGM_home_spread_price,BetMGM_away_spread,BetMGM_away_spread_price,BetMGM_home_ml,BetMGM_away_ml,BetMGM_total,BetMGM_over_price,BetMGM_under_price,BetOnline.ag_home_spread,BetOnline.ag_home_spread_price,BetOnline.ag_away_spread,BetOnline.ag_away_spread_price,BetOnline.ag_home_ml,BetOnline.ag_away_ml,BetOnline.ag_total,BetOnline.ag_over_price,BetOnline.ag_under_price,BetRivers_home_spread,BetRivers_home_spread_price,BetRivers_away_spread,BetRivers_away_spread_price,BetRivers_home_ml,BetRivers_away_ml,BetRivers_total,BetRivers_over_price,BetRivers_under_price,BetUS_home_spread,BetUS_home_spread_price,BetUS_away_spread,BetUS_away_spread_price,BetUS_home_ml,BetUS_away_ml,BetUS_total,BetUS_over_price,BetUS_under_price,Bovada_home_spread,Bovada_home_spread_price,Bovada_away_spread,Bovada_away_spread_price,Bovada_home_ml,Bovada_away_ml,Bovada_total,Bovada_over_price,Bovada_under_price,DraftKings_home_spread,DraftKings_home_spread_price,DraftKings_away_spread,DraftKings_away_spread_price,DraftKings_home_ml,DraftKings_away_ml,DraftKings_total,DraftKings_over_price,DraftKings_under_price,FanDuel_home_spread,FanDuel_home_spread_price,FanDuel_away_spread,FanDuel_away_spread_price,FanDuel_home_ml,FanDuel_away_ml,FanDuel_total,FanDuel_over_price,FanDuel_under_price,LowVig.ag_home_spread,LowVig.ag_home_spread_price,LowVig.ag_away_spread,LowVig.ag_away_spread_price,LowVig.ag_home_ml,LowVig.ag_away_ml,LowVig.ag_total,LowVig.ag_over_price,LowVig.ag_under_price,MyBookie.ag_home_spread,MyBookie.ag_home_spread_price,MyBookie.ag_away_spread,MyBookie.ag_away_spread_price,MyBookie.ag_home_ml,MyBookie.ag_away_ml,MyBookie.ag_total,MyBookie.ag_over_price,MyBookie.ag_under_price
2026-09-06T23:46:22.201183+00:00,401858437,1,regular,2026-09-06T20:07:00Z,Washington Huskies,Washington State Cougars,yes,-13.5,-900,13.5,+550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.5,-550,13.5,+350,,,34.5,+325,-500,-14.5,+750,14.5,-1450,,,,,,-13.5,-650,13.5,+390,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T23:46:22.201183+00:00,401856661,1,regular,2026-09-06T23:45:00Z,Ole Miss Rebels,Louisville Cardinals,yes,-6.5,-105,6.5,-105,-250,+195,54.5,-105,-112,-6.5,-106,6.5,-114,-235,+195,54.5,-110,-110,,,,,,,,,,-6.5,-105,6.5,-115,-240,+203,54.5,-110,-110,-6.5,-115,6.5,-115,-250,+185,55.5,-115,-115,-6.5,-115,6.5,-115,-245,+185,55.5,-115,-115,-6.5,-125,6.5,-106,-265,+200,54.5,-114,-114,,,,,,,,,,-6.5,-118,6.5,-111,-222,+185,54.5,-118,-111
2026-09-06T23:46:22.201183+00:00,401858438,1,regular,2026-09-06T23:48:00Z,Notre Dame Fighting Irish,Wisconsin Badgers,yes,-21.0,-115,21.0,-105,-1600,+1050,46.5,-108,-110,-21.0,-115,21.0,-105,-2100,+1069,46.0,-115,-105,,,,,,,,,,-21.0,-115,21.0,-105,-1600,+900,46.5,-110,-110,-21.5,+100,21.5,-120,-1800,+850,46.0,-105,-115,-21.0,-115,21.0,-105,-1650,+950,45.5,-112,-108,-21.5,-102,21.5,-120,-2200,+1100,45.5,-118,-104,-21.0,-111,21.0,-101,-2100,+1069,46.0,-114,-103,-20.5,-118,20.5,-111,-1667,+825,46.5,-111,-118
2026-09-06T23:46:22.201183+00:00,401858212,1,regular,2026-09-07T23:30:00Z,Florida State Seminoles,SMU Mustangs,yes,3.0,-115,-3.0,-102,+125,-145,53.5,-105,-112,3.0,-115,-3.0,-105,+127,-147,53.5,-107,-113,3.0,-114,-3.0,-109,+125,-157,53.5,-109,-114,3.0,-115,-3.0,-105,+125,-145,53.0,-110,-110,3.0,-115,-3.0,-105,+125,-145,53.0,-110,-110,3.0,-115,-3.0,-105,+130,-155,52.5,-115,-105,2.5,+100,-2.5,-122,+126,-152,53.5,-105,-115,3.0,-111,-3.0,-101,+127,-147,53.5,-105,-112,3.0,-120,-3.0,+100,+121,-149,53.0,-110,-110
