cfbd_week,cfbd_game_id,commence_time,away_team,home_team,book_count,consensus_home_spread,consensus_away_spread,consensus_total,circa_home_spread,circa_away_spread,circa_total,BetMGM_home_spread,BetMGM_away_spread,BetMGM_total,BetOnline.ag_home_spread,BetOnline.ag_away_spread,BetOnline.ag_total,BetRivers_home_spread,BetRivers_away_spread,BetRivers_total,BetUS_home_spread,BetUS_away_spread,BetUS_total,Bovada_home_spread,Bovada_away_spread,Bovada_total,DraftKings_home_spread,DraftKings_away_spread,DraftKings_total,FanDuel_home_spread,FanDuel_away_spread,FanDuel_total,LowVig.ag_home_spread,LowVig.ag_away_spread,LowVig.ag_total,MyBookie.ag_home_spread,MyBookie.ag_away_spread,MyBookie.ag_total
1,401858437,2026-09-06T20:07:00Z,Washington State Cougars,Washington Huskies,4,-13.5,13.5,34.5,,,,-13.5,13.5,,,,,,,,,,,-13.5,13.5,34.5,-14.5,14.5,,-13.5,13.5,,,,,,,
1,401856661,2026-09-06T23:45:00Z,Louisville Cardinals,Ole Miss Rebels,7,-6.5,6.5,54.5,,,,-6.5,6.5,54.5,-6.5,6.5,54.5,,,,-6.5,6.5,54.5,-6.5,6.5,55.5,-6.5,6.5,55.5,-6.5,6.5,54.5,,,,-6.5,6.5,54.5
1,401858438,2026-09-06T23:48:00Z,Wisconsin Badgers,Notre Dame Fighting Irish,8,-21.0,21.0,46.0,,,,-21.0,21.0,46.5,-21.0,21.0,46.0,,,,-21.0,21.0,46.5,-21.5,21.5,46.0,-21.0,21.0,45.5,-21.5,21.5,45.5,-21.0,21.0,46.0,-20.5,20.5,46.5
1,401858212,2026-09-07T23:30:00Z,SMU Mustangs,Florida State Seminoles,9,3.0,-3.0,53.5,,,,3.0,-3.0,53.5,3.0,-3.0,53.5,3.0,-3.0,53.5,3.0,-3.0,53.0,3.0,-3.0,53.0,3.0,-3.0,52.5,2.5,-2.5,53.5,3.0,-3.0,53.5,3.0,-3.0,53.0
